level,levelName,vName,definition,reference
2,Values and Priority Measures,Diverse livelihoods and employment,"“This is facilitated by access to finance, ability to accrue savings, skills training, business support, and social welfare” (Arup, 2015, pg. 19).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Effective leadership and management,"“This is enabled by trusted individuals, multi-stakeholder consultation, evidence-based decision-making and disaster risk reduction activities”(Arup, 2015, pg. 25).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Effective provision of critical services,"“This results from active management and maintenance of ecosystems, and from diversity of provision, redundant capacity, and adequate maintenance of essential utility services, combined with robust contingency planning”(Arup, 2015, pg. 23).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Effective safeguards to human health and life,"“This relies on integrated health facilities and services, and responsive emergency services” (Arup, 2015, pg. 19).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Empowered stakeholders,"“This is underpinned by education for all, and relies on access to up-to-date information and knowledge to enable people and organisations to take action” (Arup, 2015, pg. 25).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Environmental sustainability,"This is enabled by the “maintenance of natural capital”, in particular the source and sink functions. It centres around regulating the “use of renewable and non-renewable resources on the source side, and pollution and waste assimilation on the sink side” (Goodland, 1995, pg. 10).","Goodland, R. (1995) 'The Concept of Environmental Sustainability', Annual Review of Ecology and Systematics, 26, pp. 1-24."
2,Values and Priority Measures,Integrated development and planning,"“This is indicated by the presence of a vision, an integrated development strategy, and plans that are regularly reviewed and updated by cross-departmental groups” (Arup, 2015, pg. 25).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Minimal vulnerability,"“This relates to the extent to which everyone's basic needs are met” (Arup, 2015, pg. 19).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Reduced exposure and fragility,"“This relies on a comprehensive understanding of the hazards and risks to which a city is exposed, the extent to which a city is exposed, the extent to which this understanding informs the development of integrated strategies to physically protect the city combining sound environmental stewardship, robust design and maintenance of man-made infrastructure, and enforcement of appropriate building codes & regulations"" (Arup, 2015, pg. 23).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Reliable communications and mobility,"“This is enabled by diverse and affordable multi-modal transport systems and information and communication technology (ICT) networks, and contingency planning”(Arup, 2015, pg. 23).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
2,Values and Priority Measures,Socio-economic equality and equity,"This is underpinned by all members of society having equal opportunities. It includes the “broader concept of fairness in the distribution of cost, benefits and opportunities” (UNSDG, 2019, pg. 8). ""Equity extends the concept of equality to include providing varying levels of support based on individual needs"" (Longley, 2020).",UNSDG (2019) Leaving no-one behind: A UNSDG Operational Guide for UN Country Teams (Interim Draft).
2,Values and Priority Measures,Sustainable economy,"“This is observed in sound management of city finances, diverse revenue streams, and the ability to attract business investment, allocate capital, and build emergency funds” (Arup, 2015, pg. 21).",Arup (2015) 'City Resilience Framework'. Available at: https://www.rockefellerfoundation.org/report/city?resilience?framework/.
3,Generalised Functions,Animal welfare,"Functions that contribute to the welfare of domesticated animals, livestock and wildlife. ",
3,Generalised Functions,Biological hazard regulation,"Functions that regulate (not respond to) hazards from aquaculture, insect infestation, invasive species, human-animal interaction, CBRNE, mental health, food safety, and infectious diseases. Also includes functions that regulate chemical hazards from gases, heavy metals, food safety, persistent organic pollutants, hydrocarbons, CBRNE, other chemical hazards and toxins (UNDRR, 2020).",UNDRR (2020) 'Hazard definition & classification review: Technical report'. 10/09/2020. Available at: https://www.undrr.org/publication/hazard-definition-and-classification-review.
3,Generalised Functions,Ceremonies and services for major life events,Functions that enable ceremonies and services for major life events.,
3,Generalised Functions,Clean air,Functions that enable clean air and improve air quality.,
3,Generalised Functions,Clean water,Functions that enable clean drinking water through the supply chain and improve water quality.,
3,Generalised Functions,Clothing provision,Functions that enable clothing provision through the supply chain and maintenance services.,
3,Generalised Functions,Communication systems,Functions that enable communication systems through the supply chain.,
3,Generalised Functions,Community activities and engagement,Functions that enable community activities and community engagement.,
3,Generalised Functions,Distribution of goods (logistics),Functions that enable the distribution of goods.,
3,Generalised Functions,Emergency services,"Functions that enable emergency services, such as transport infrastructure, logistics and emergency response.",
3,Generalised Functions,Employment provision,"Functions that enable access to employment, provision of employment and wellbeing in the workplace.",
3,Generalised Functions,Energy supply,Functions that contribute to the energy supply chain.,
3,Generalised Functions,Environmental conservation,"Functions that enable environmental conservation through environmental monitoring, environmental management and ecosystem services.",
3,Generalised Functions,Environmental and geohazard regulation,"Functions that regulate (not respond to) hazards from environmental degradation as well as seismogenic, volcanogenic, and shallow geohazards (UNDRR, 2020).",UNDRR (2020) 'Hazard definition & classification review: Technical report'. 10/09/2020. Available at: https://www.undrr.org/publication/hazard-definition-and-classification-review.
3,Generalised Functions,Financial services,Functions that enable financial services and economic security.,
3,Generalised Functions,Food provision,Functions that enable food provision through the supply chain and regulatory standards.,
3,Generalised Functions,Foster social cohesion,Functions that enable communities to be inclusive and contribute to neighbourliness.,
3,Generalised Functions,Goods and services provision,Functions that enable the provision of goods and services.,
3,Generalised Functions,Governance,"Functions that enable governance at local, regional or national level.",
3,Generalised Functions,Historical and cultural value contribution,Functions that enable historical and cultural value contribution.,
3,Generalised Functions,Housing provision,"Functions that enable secure housing provision through infrastructure services, building standards and financial services.",
3,Generalised Functions,Hydrometeorological hazard regulation,"Functions that regulate (not respond to) convective-related hazards, floods, lithometeors, marine hazards, pressure/precipitation/temperature/wind-related hazards, and terrestrial hazards (UNDRR, 2020).",UNDRR (2020) 'Hazard definition & classification review: Technical report'. 10/09/2020. Available at: https://www.undrr.org/publication/hazard-definition-and-classification-review.
3,Generalised Functions,Law and order,Functions that enable law and order of society. This at the collective scale.,
3,Generalised Functions,Learning and education,"Functions that enable learning and education in a formal capacity as well as informal capacity (e.g., from cultural and recreational learning).",
3,Generalised Functions,Observance of religion,Functions that enable freedom to observe religion.,
3,Generalised Functions,Physical security,Functions that enable security on an individual scale.,
3,Generalised Functions,Planning activities,Functions that enable strategic urban planning.,
3,Generalised Functions,Public health,"Functions that enable a healthy population, improve quality of life and prolong life.",
3,Generalised Functions,Recreational activities,Functions that enable recreational and leisure activities.,
3,Generalised Functions,Road conditions and safety,Functions that enable road conditions to be safe.,
3,Generalised Functions,Sanitation provision,Functions that enable sanitation provision.,
3,Generalised Functions,Social interaction,Functions that enable meaningful social interaction within a city.,
3,Generalised Functions,Societal hazard regulation,"Functions that regulate (not respond to) hazards from conflict, post-conflict, behavioural hazards or economic hazards (such as a financial shock) (UNDRR, 2020). ",UNDRR (2020) 'Hazard definition & classification review: Technical report'. 10/09/2020. Available at: https://www.undrr.org/publication/hazard-definition-and-classification-review.
3,Generalised Functions,Technological hazard regulation,"Functions that regulate (not respond to) hazards from radiation, CBRNE, construction/structural failure, infrastructure failure, cyber hazards, industrial failures or non-compliance, waste, floods, or transportation (UNDRR, 2020).",UNDRR (2020) 'Hazard definition & classification review: Technical report'. 10/09/2020. Available at: https://www.undrr.org/publication/hazard-definition-and-classification-review.
3,Generalised Functions,Tourism,Functions that enable tourism by attracting visitors to the city for economic development.,
3,Generalised Functions,"Travel (people, not goods)",Functions that enable the people to travel both within the city and to other places.,
3,Generalised Functions,Waste management,Functions that enable waste management.,
4,Object-Related Processes,Accommodate prisoners,Accommodate prisoners.,
4,Object-Related Processes,Act as access point for electricity,Affords access to electricity for personal or commercial use.,
4,Object-Related Processes,Act as access point for food,Affords access to food.,
4,Object-Related Processes,Act as access point for gas,Affords access to gas for personal or commercial use.,
4,Object-Related Processes,Act as access point for goods distribution,Affords goods to be deposited and collected for distribution.,
4,Object-Related Processes,Act as access point for petrol or oil,Affords access to fuel for transport.,
4,Object-Related Processes,Act as access point for potable water,Affords access to potable water for public use.,
4,Object-Related Processes,Act as access point for public transport,Affords access to public transport.,
4,Object-Related Processes,Act as access point for sanitation,Affords access to sanitation for public use.,
4,Object-Related Processes,Act as access point for telecommunication,Affords access to a telecommunication service such as telephone or broadband.,
4,Object-Related Processes,Act as access point for traffic information,Affords access to traffic information for public use.,
4,Object-Related Processes,Act as access point for waste and recycling,Affords access to dispose of waste and recycling.,
4,Object-Related Processes,Act as access point to cash,Affords an access point to cash.,
4,Object-Related Processes,Act as community meeting space,Affords a multi-purpose indoor or outdoor space in the local community to interact with each other. The space can either rented for private events or freely accessible. ,
4,Object-Related Processes,Act as grid point for electricity,"Affords an intermediate stage in electrical infrastructure network, for storing and routing.",
4,Object-Related Processes,Act as grid point for gas,"Affords an intermediate stage in gas infrastructure network, for storing and routing.",
4,Object-Related Processes,Act as grid point for telecommunications,"Affords an intermediate stage in telecommunications infrastructure network, for storing and routing.",
4,Object-Related Processes,Act as grid point for wastewater,"Affords an intermediate stage in wastewater/sewerage infrastructure network, for storing and routing.",
4,Object-Related Processes,Act as grid point for water,"Affords an intermediate stage in water infrastructure network, for storing and routing.",
4,Object-Related Processes,Act as mode of transport,Affords a means to travel.,
4,Object-Related Processes,Act as place of historical or cultural importance,"Affords a place of historical or cultural importance, contributing to place-making (excludes sports facilities).",
4,Object-Related Processes,Act as point of contact for public to raise social and civic issues,Affords a meeting point where the public can raise social and civic issues for the attention of government and/or media.,
4,Object-Related Processes,Act as training grounds for armed forces exercise,Affords armed forces exercises and training.,
4,Object-Related Processes,Act as transport hub,Affords passengers to exchange between different modes of transport.,
4,Object-Related Processes,Administrate armed forces operations,Administrates armed forces operations.,
4,Object-Related Processes,Administrate banking operations,Administrates banking operations and policies.,
4,Object-Related Processes,Administrate welfare benefits,"Administrates access to and provision of welfare benefits (e.g., universal credit).",
4,Object-Related Processes,Administrate business support,Administrates access to and provision of business support.,
4,Object-Related Processes,Administrate community grants,Administrates access to and provision of community grants.,
4,Object-Related Processes,Administrate diplomacy,Administrates international relations and diplomacy.,
4,Object-Related Processes,Administrate educational facilities,Administrates access to and provision of educational facilities.,
4,Object-Related Processes,Administrate emergency services,Administrates access to and provision of emergency services.,
4,Object-Related Processes,Administrate healthcare services,Administrates access to and provision of healthcare services.,
4,Object-Related Processes,Administrate large-scale transport of goods or people,Administrates logistics around large-scale transport of goods or people.,
4,Object-Related Processes,Administrate political campaigns,Administrates political campaigns to help with elections.,
4,Object-Related Processes,Administrate political duties,Administrates political duties of elected officials.,
4,Object-Related Processes,Administrate provision of electricity,Administrates access to and provision of electricity for households and businesses.,
4,Object-Related Processes,Administrate provision of gas,Administrates access to and provision of gas for households and businesses.,
4,Object-Related Processes,Administrate provision of potable water,Administrates access to and provision of potable water for personal and commercial use.,
4,Object-Related Processes,Administrate provision of telecommunications,"Administrates access to and provision of telecommunication (e.g., broadband services) for households and businesses. ",
4,Object-Related Processes,Administrate provision of temporary accommodation,Administrates access to and provision of temporary accommodation.,
4,Object-Related Processes,Administrate provision of traffic information,Administrates access to and provision of traffic information.,
4,Object-Related Processes,Administrate provision of wastewater services,Administrates access to and provision of wastewater services.,
4,Object-Related Processes,Administrate sales,Administrates logistics around retail activity and other key business decisions.,
4,Object-Related Processes,Administrate taxes,Administrates taxes.,
4,Object-Related Processes,Administrate transport to healthcare services,Administrates access to and provision of transport to healthcare services.,
4,Object-Related Processes,Administrate waste and recycling,"Administrates access to and provision of waste collection, deposition and recycling.",
4,Object-Related Processes,Advise carers,Affords help and support for carers looking after patients or a vulnerable person.,
4,Object-Related Processes,Advise on community activities,Affords information on community activities.,
4,Object-Related Processes,Advise or regulate implementation of workplace policies,"Affords external information and advice on employment issues or concerns, including how to appropriately implement workplace policies.",
4,Object-Related Processes,Advise or set government policy,Affords government policy.,
4,Object-Related Processes,Allow road crossing,Affords safe road crossings at particular points.,
4,Object-Related Processes,Animal rescue,Affords animal rescue.,
4,Object-Related Processes,Calm traffic,Affords measures to calm traffic by reducing speed and/or increasing safety.,
4,Object-Related Processes,Charge electric vehicles,Affords the charging of electric vehicles.,
4,Object-Related Processes,Connect buildings to services,"Affords buildings to be connected to essential services such as plumbing, electricity and/or gas.",
4,Object-Related Processes,Construct buildings,"Affords the construction of residential, public or commercial properties.",
4,Object-Related Processes,Coordinate construction work,"Affords the coordination of residential, public or commercial construction work.",
4,Object-Related Processes,Criminal investigation,Affords crimes to be investigated.,
4,Object-Related Processes,Design buildings and urban spaces,Affords the design of urban areas and buildings.,
4,Object-Related Processes,Direct traffic,Affords traffic to be directed safely.,
4,Object-Related Processes,Dispense medicines,Affords medicines to be processed and dispensed.,
4,Object-Related Processes,Display items of significance,"Affords the display of items that are of artistic, cultural, historical or scientific significance for public viewing.",
4,Object-Related Processes,Dispose waste and recycling,Affords the disposal of waste and recycling.,
4,Object-Related Processes,Enforce building standards,Affords enforcement around building standards such as building safety and quality.,
4,Object-Related Processes,Enforce environmental standards,"Affords enforcement around environmental standards such as water quality and CO2 emissions, etc.",
4,Object-Related Processes,Enforce food standards,"Affords enforcement around food safety, food labelling and food hygiene.",
4,Object-Related Processes,Enforce health and safety,Affords enforcement around health and safety in the workplace.,
4,Object-Related Processes,Facilitate creative expression,Affords facilitation of creative expression.,
4,Object-Related Processes,Facilitate cultural events,Affords facilitation of cultural events. ,
4,Object-Related Processes,Facilitate leisure or recreation,Affords facilitation of recreation or leisure.,
4,Object-Related Processes,Facilitate registrar services,"Affords facilitation of civil weddings and enable births, deaths, and weddings to be registered.",
4,Object-Related Processes,Generate electricity,Affords generation of electricity.,
4,Object-Related Processes,Generate traffic information,Affords traffic data to be collected and processed to generate traffic information.,
4,Object-Related Processes,Grow food,"Affords food such as grains, vegetables and livestock to be grown and processed at the source of the supply chain. ",
4,Object-Related Processes,House animals,Accommodates animals.,
4,Object-Related Processes,Maintain clothing,"Affords the cleaning, drying, altering or repairing of clothes.",
4,Object-Related Processes,Provide cleaning and maintenance services,"Affords the maintenance of public outdoor spaces (e.g., grass cutting) and indoor private spaces (e.g., cleaning).",
4,Object-Related Processes,Maintain roads,Affords the maintenance of roads to keep them in adequate condition.,
4,Object-Related Processes,Maintain vehicles,Affords the maintenance of vehicles to ensure they are safe to drive.,
4,Object-Related Processes,Maintain watercourses,Affords cleaning and clearing of debris in watercourses. ,
4,Object-Related Processes,Manage pests,Affords prevention or management of pests.,
4,Object-Related Processes,Manage property,Affords management or letting of commercial or residential properties.,
4,Object-Related Processes,Manufacture consumer discretionary,"Affords the manufacturing of consumer discretionary products. Consumer discretionary products are considered non-essential by consumers, but desirable if their income is sufficient to purchase them.",
4,Object-Related Processes,Manufacture consumer staples,"Affords the manufacturing of consumer staple products. Consumer staple products are considered essential products, as well as alcohol and tobacco.",
4,Object-Related Processes,Manufacture gas and oil equipment and supplies,Affords the manufacturing of gas and oil equipment and supplies.,
4,Object-Related Processes,Manufacture healthcare equipment and supplies,Affords the manufacturing of healthcare equipment and supplies.,
4,Object-Related Processes,Manufacture industrial equipment and supplies,Affords the manufacturing of industrial equipment and supplies.,
4,Object-Related Processes,Manufacture materials,"Affords the manufacturing of materials such as chemicals, construction materials, containers and packaging, metals and mining, paper and forest products.",
4,Object-Related Processes,Manufacture telecommunication equipment and supplies,Affords the manufacturing of telecommunication equipment and supplies.,
4,Object-Related Processes,Monitor environment,Affords environmental monitoring and regulation.,
4,Object-Related Processes,Monitor neighbourhood,Affords neighbourhood monitoring and neighbourhood watch for neighbourhood safety.,
4,Object-Related Processes,Process waste and recycling,Processes collected waste and recycling.,
4,Object-Related Processes,Provide a psychological sense of home,Affords a psychological sense of home on an individual scale.,
4,Object-Related Processes,Provide access to planning resources and services,Affords access to planning resources and associated services.,
4,Object-Related Processes,Provide aesthetic value,Affords aesthetic value that contributes to place-making or sense of pride in place. ,
4,Object-Related Processes,Provide other specialist healthcare services,"Affords specialist, alternative and/or complimentary healthcare services and treatments.",
4,Object-Related Processes,Provide animal healthcare,Affords animal healthcare and treatment.,
4,Object-Related Processes,Provide assisted living,Affords assisted living for those who cannot live completely independently.,
4,Object-Related Processes,Provide barrier to movement,"Provides restricted movement of people, animals or goods.",
4,Object-Related Processes,Provide covered passageway,Affords movement through an otherwise inaccessible object by providing a covered passageway.,
4,Object-Related Processes,Provide death-care services,Affords death-care services.,
4,Object-Related Processes,Provide dental healthcare services,Affords professional dental and orthodontal healthcare services.,
4,Object-Related Processes,Provide discretionary goods,Affords consumer discretionary goods (goods that are considered non-essential but desirable) to be purchased. ,
4,Object-Related Processes,Provide drainage,Affords drainage to manage surface water.,
4,Object-Related Processes,Provide education services,"Affords primary, secondary and further education by following a general curriculum.",
4,Object-Related Processes,Provide employment,Affords employment and associated administrative processes.,
4,Object-Related Processes,Provide financial services (business),"Affords commercial financial services such as business loans, business accounting etc.",
4,Object-Related Processes,Provide financial services (household),"Affords personal financial services such as mortgage advice, insurance advice, personal loans etc.",
4,Object-Related Processes,Provide flood barrier,Affords a barrier or defence to flooding.,
4,Object-Related Processes,Provide general healthcare services,"Affords professional general healthcare services, including everything from primary care consultations to non-life-threatening care (e.g., allocated to 111 calls, elective surgeries, or outpatient services).",
4,Object-Related Processes,Provide insurance,Affords risk management and insurance services to customers.                                                                                                                   ,
4,Object-Related Processes,Provide interior trades,"Affords interior building trades such as fitting windows, fitting indoor wooden work etc.",
4,Object-Related Processes,Provide IT services,Affords IT services for personal and commercial use.,
4,Object-Related Processes,Provide legal advice,Affords legal advice and services.,
4,Object-Related Processes,Provide life-threatening healthcare services,"Affords professional life-threatening healthcare services. Life-threatening is defined as what is advised for 999 calls, and emergency surgeries, ICU treatment, etc.",
4,Object-Related Processes,Provide marketing and media services,Affords marketing and media services for external and internal business use.,
4,Object-Related Processes,Provide mental healthcare services,Affords professional mental healthcare services.,
4,Object-Related Processes,Provide older childcare,Affords childcare for children who are of school age.,
4,Object-Related Processes,Provide optical healthcare services,Affords professional optical healthcare and vision services.,
4,Object-Related Processes,Provide other discretionary services,"Affords non-essential services such as beauty services, hospitality services, entertainment services etc.",
4,Object-Related Processes,Provide physiotherapy services,"Affords physiotherapy services that help restore movement and function after injury, illness or disability.",
4,Object-Related Processes,Provide place of worship,Affords a place of worship or a prayer room to worship.,
4,Object-Related Processes,Provide public communications service,"Affords communication on public events such as the news, weather or public health messages.",
4,Object-Related Processes,Provide qualification services,"Affords courses for professional qualifications (e.g., DVLA, MSc, BSc, HND/HNC, NQs, Highers, language qualifications, other trade qualifications).",
4,Object-Related Processes,Provide recreational learning,Affords recreational learning to enable personal development.,
4,Object-Related Processes,Provide rehabilitation services,"Affords rehabilitation and recovery services from injury, illness or disease. ",
4,Object-Related Processes,Provide removal and storage services,Affords removal and or/storage services for personal and commercial use.,
4,Object-Related Processes,Provide retributive justice and criminal deterrence,Affords retributive justice for a crime that has been committed and future criminal deterrence.,
4,Object-Related Processes,Provide sexual healthcare services,Affords professional sexual healthcare and support services.,
4,Object-Related Processes,Provide social support,Affords help and support for any vulnerable person or group.,
4,Object-Related Processes,Provide staple goods,Affords consumer staple goods to be purchased or provided for free. Staple goods are considered essential as demand remains staple regardless of the price.,
4,Object-Related Processes,Provide street care and cleaning,"Affords street care and cleaning e.g., fly-tipping removal).",
4,Object-Related Processes,Provide street lighting,Affords street lighting to increase safety.,
4,Object-Related Processes,Provide supported learning,Affords additional support to enable all pupils to have equal educational opportunities.,
4,Object-Related Processes,Provide temporary shelter,Affords temporary shelter from weather or events.,
4,Object-Related Processes,Provide working environment,Affords a place to work.,
4,Object-Related Processes,Provide younger childcare,Affords childcare for children who are of pre-school age.,
4,Object-Related Processes,Rent vehicles,Affords vehicles to be rented for a short period of time.,
4,Object-Related Processes,Respond to emergencies,Affords a rapid response to unexpected emergencies (including medical emergencies).,
4,Object-Related Processes,Screen media,Affords films and other types of media to be screened within buildings.,
4,Object-Related Processes,Secure place to keep your possessions,Affords a secure place to keep personal belongings.,
4,Object-Related Processes,Sequester carbon,Affords carbon to be sequestered.,
4,Object-Related Processes,Sort and organise delivery of goods,Affords goods to be sorted in order to be delivered to customer endpoints.,
